scenery;sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
8;2;assignment_vis>assignment_try;2085;633943;248385.67913669063;132929;2085;2085;1.38 (+- 0.52);1.5;1.5;2
8;2;assignment_vis>assignment_sub;2085;633943;248385.67913669063;171556;2085;2085;1.38 (+- 0.52);1.5;1.5;2
8;2;assignment_try>assignment_sub;2085;633943;248385.67913669063;107417;2085;2085;1.38 (+- 0.52);1.5;1.5;2
8;3;assignment_vis>assignment_try>assignment_sub;2085;633943;248385.67913669063;68416;2085;2085;1.38 (+- 0.52);1.5;1.5;2
8;2;resource_vis>assignment_sub;1829;633943;267590.589393111;150501;1829;1829;1.41 (+- 0.50);1.5;1.5;2
7;2;resource_vis>assignment_sub;1829;633943;267584.6429743029;41663;1829;1829;1.41 (+- 0.50);1.5;1.5;2
7;2;assignment_vis>assignment_sub;1238;633934;309533.79563812603;26501;1238;1238;1.37 (+- 0.52);1.5;1.5;2
7;2;resource_vis>resource_vis;1102;633934;327487.667876588;38924;1102;1102;1.40 (+- 0.51);1.5;1.5;2
7;3;resource_vis>resource_vis>assignment_sub;1102;633934;327487.667876588;19462;1102;1102;1.40 (+- 0.51);1.5;1.5;2
7;2;assignment_try>assignment_sub;974;633927;293539.3398357289;8816;974;974;1.38 (+- 0.51);1.5;1.5;2
6;2;assignment_vis>assignment_try;2085;633943;248385.67913669063;70735;2085;2085;1.38 (+- 0.52);1.5;1.5;2
6;2;assignment_vis>assignment_sub;2085;633943;248385.67913669063;83018;2085;2085;1.38 (+- 0.52);1.5;1.5;2
6;2;assignment_try>assignment_sub;2085;633943;248385.67913669063;58468;2085;2085;1.38 (+- 0.52);1.5;1.5;2
6;3;assignment_vis>assignment_try>assignment_sub;2085;633943;248385.67913669063;36878;2085;2085;1.38 (+- 0.52);1.5;1.5;2
6;2;resource_vis>assignment_sub;1829;633943;267590.589393111;68164;1829;1829;1.41 (+- 0.50);1.5;1.5;2
5;2;resource_vis>assignment_sub;1829;633943;259974.3455440131;15585;1829;1829;1.41 (+- 0.50);1.5;1.5;2
5;2;assignment_try>assignment_sub;974;633927;277411.65092402464;4925;974;974;1.38 (+- 0.51);1.5;1.5;2
5;2;assignment_vis>assignment_sub;902;633907;320439.5931263858;8714;902;902;1.39 (+- 0.50);1.5;1.5;2
5;2;assignment_vis>resource_vis;830;633832;319887.8120481928;8052;830;830;1.39 (+- 0.51);1.5;1.5;2
5;3;assignment_vis>resource_vis>assignment_sub;830;633832;319887.8120481928;4026;830;830;1.39 (+- 0.51);1.5;1.5;2
4;2;assignment_vis_END>assignment_sub_END;1844;633943;273493.50054229936;59475;1844;1844;1.38 (+- 0.52);1.5;1.5;2
4;2;assignment_vis_END>assignment_try_END;1700;633943;255287.99647058823;37760;1700;1700;1.37 (+- 0.52);1.5;1.5;2
4;2;assignment_try_END>assignment_sub_END;1700;633943;255287.99647058823;32339;1700;1700;1.37 (+- 0.52);1.5;1.5;2
4;3;assignment_vis_END>assignment_try_END>assignment_sub_END;1700;633943;255287.99647058823;18880;1700;1700;1.37 (+- 0.52);1.5;1.5;2
4;2;resource_vis_END>assignment_sub_END;1302;633852;248969.7396313364;33156;1302;1302;1.40 (+- 0.51);1.5;1.5;2
3;2;resource_vis_END>assignment_sub_END;1302;633852;248963.48924731184;10310;1302;1302;1.40 (+- 0.51);1.5;1.5;2
3;2;assignment_vis_END>assignment_sub_END;947;633934;298944.1520591341;8228;947;947;1.38 (+- 0.52);1.5;1.5;2
3;2;resource_vis_START>assignment_sub_END;730;633923;494995.1684931507;6398;730;730;1.42 (+- 0.50);1.5;1.5;2
3;2;assignment_try_END>assignment_sub_END;685;633927;275641.40291970805;2704;685;685;1.38 (+- 0.51);1.5;1.5;2
3;2;resource_vis_END>resource_vis_END;632;633843;271688.14556962025;6130;632;632;1.37 (+- 0.53);1.5;1.5;2
2;2;assignment_vis_END>assignment_sub_END;1844;633943;273493.50054229936;37665;1844;1844;1.38 (+- 0.52);1.5;1.5;2
2;2;assignment_vis_END>assignment_try_END;1700;633943;255287.99647058823;26634;1700;1700;1.37 (+- 0.52);1.5;1.5;2
2;2;assignment_try_END>assignment_sub_END;1700;633943;255287.99647058823;23240;1700;1700;1.37 (+- 0.52);1.5;1.5;2
2;3;assignment_vis_END>assignment_try_END>assignment_sub_END;1700;633943;255287.99647058823;13317;1700;1700;1.37 (+- 0.52);1.5;1.5;2
2;2;resource_vis_END>assignment_sub_END;1302;633852;248969.7396313364;21351;1302;1302;1.40 (+- 0.51);1.5;1.5;2
1;2;resource_vis_END>assignment_sub_END;1302;633852;248389.7434715822;5657;1302;1302;1.40 (+- 0.51);1.5;1.5;2
1;2;resource_vis_START>assignment_sub_END;730;633923;494372.0123287671;3734;730;730;1.42 (+- 0.50);1.5;1.5;2
1;2;assignment_try_END>assignment_sub_END;685;633927;274379.297810219;2176;685;685;1.38 (+- 0.51);1.5;1.5;2
1;2;assignment_vis_END>assignment_sub_END;618;633768;295065.2621359223;3054;618;618;1.40 (+- 0.50);1.5;1.5;2
1;2;forum_vis_END>assignment_sub_END;563;633726;330398.3072824156;4042;563;563;1.41 (+- 0.50);1.5;1.5;2
